,Creditability,Account Balance,Duration of Credit (month),Payment Status of Previous Credit,Purpose,Credit Amount,Value Savings/Stocks,Length of current employment,Instalment per cent,Sex & Marital Status,Guarantors,Duration in Current address,Most valuable available asset,Age (years),Concurrent Credits,Type of apartment,No of Credits at this Bank,Occupation,No of dependents,Telephone,Foreign Worker
0,1,1,6,4,3,1169,5,5,4,3,1,4,1,67,3,2,2,3,1,2,1
1,0,2,48,2,3,5951,1,3,2,2,1,2,1,22,3,2,1,3,1,1,1
2,1,4,12,4,6,2096,1,4,2,3,1,3,1,49,3,2,1,2,2,1,1
3,1,1,42,2,2,7882,1,4,2,3,3,4,2,45,3,3,1,3,2,1,1
4,0,1,24,3,0,4870,1,3,3,3,1,4,4,53,3,3,2,3,2,1,1
5,1,4,36,2,6,9055,5,3,2,3,1,4,4,35,3,3,1,2,2,2,1
6,1,4,24,2,2,2835,3,5,3,3,1,4,2,53,3,2,1,3,1,1,1
7,1,2,36,2,1,6948,1,3,2,3,1,2,3,35,3,1,1,4,1,2,1
8,1,4,12,2,3,3059,4,4,2,1,1,4,1,61,3,2,1,2,1,1,1
9,0,2,30,4,0,5234,1,1,4,4,1,2,3,28,3,2,2,4,1,1,1
10,0,2,12,2,0,1295,1,2,3,2,1,1,3,25,3,1,1,3,1,1,1
11,0,1,48,2,9,4308,1,2,3,2,1,4,2,24,3,1,1,3,1,1,1
12,1,2,12,2,3,1567,1,3,1,2,1,1,3,22,3,2,1,3,1,2,1
13,0,1,24,4,0,1199,1,5,4,3,1,4,3,60,3,2,2,2,1,1,1
14,1,1,15,2,0,1403,1,3,2,2,1,4,3,28,3,1,1,3,1,1,1
15,0,1,24,2,3,1282,2,3,4,2,1,2,3,32,3,2,1,2,1,1,1
16,1,4,24,4,3,2424,5,5,4,3,1,4,2,53,3,2,2,3,1,1,1
17,1,1,30,0,9,8072,5,2,2,3,1,3,3,25,1,2,3,3,1,1,1
18,0,2,24,2,1,12579,1,5,4,2,1,2,4,44,3,3,1,4,1,2,1
19,1,4,24,2,3,3430,3,5,3,3,1,2,3,31,3,2,1,3,2,2,1
20,1,4,9,4,0,2134,1,3,4,3,1,4,3,48,3,2,3,3,1,2,1
21,1,1,6,2,3,2647,3,3,2,3,1,3,1,44,3,1,1,3,2,1,1
22,1,1,10,4,0,2241,1,2,1,3,1,3,1,48,3,1,2,2,2,1,2
23,1,2,12,4,1,1804,2,2,3,3,1,4,2,44,3,2,1,3,1,1,1
24,1,4,10,4,2,2069,5,3,2,4,1,1,3,26,3,2,2,3,1,1,2
25,1,1,6,2,2,1374,1,3,1,3,1,2,1,36,1,2,1,2,1,2,1
26,1,4,6,0,3,426,1,5,4,4,1,4,3,39,3,2,1,2,1,1,1
27,1,3,12,1,3,409,4,3,3,2,1,3,1,42,3,1,2,3,1,1,1
28,1,2,7,2,3,2415,1,3,3,3,3,2,1,34,3,2,1,3,1,1,1
29,0,1,60,3,9,6836,1,5,3,3,1,4,4,63,3,2,2,3,1,2,1
30,1,2,18,2,9,1913,4,2,3,4,1,3,1,36,1,2,1,3,1,2,1
31,1,1,24,2,2,4020,1,3,2,3,1,2,3,27,2,2,1,3,1,1,1
32,1,2,18,2,0,5866,2,3,2,3,1,2,3,30,3,2,2,3,1,2,1
33,1,4,12,4,9,1264,5,5,4,3,1,4,4,57,3,1,1,2,1,1,1
34,1,3,12,2,2,1474,1,2,4,2,1,1,2,33,1,2,1,4,1,2,1
35,0,2,45,4,3,4746,1,2,4,3,1,2,2,25,3,2,2,2,1,1,1
36,1,4,48,4,6,6110,1,3,1,3,1,3,4,31,1,3,1,3,1,2,1
37,0,3,18,2,3,2100,1,3,4,3,2,2,1,37,2,2,1,3,1,1,1
38,1,3,10,2,4,1225,1,3,2,3,1,2,3,37,3,2,1,3,1,2,1
